title,url,date_published,snippet,body
China is trying to protect its economy from Western pressure,https://www.economist.com/briefing/2022/05/26/china-is-trying-to-protect-its-economy-from-western-pressure,2022-05-26T09:04:52Z,The results are mixed,"In a message to Chinese aerospace engineers and researchers for Youth Day earlier this month, President Xi Jinping shared his ambitions for the industry. Young workers should advance the cause of Chi… [+12886 chars]"
The structure of the world’s supply chains is changing,https://www.economist.com/briefing/2022/06/16/the-structure-of-the-worlds-supply-chains-is-changing,2022-06-16T10:37:43Z,The pandemic and war in Ukraine have speeded up the transformation,Supply chains are the fibres out of which the past decades globalisation is woven. Time and again they have allowed intrepid outward-looking manufacturers to undercut their stay-at-home competitors a… [+15519 chars]
Davos overshadowed by global economic worries...,https://apnews.com/article/russia-ukraine-world-economic-forum-covid-health-60c02786e8125cbcedab83867198cd3d,2022-05-25T20:01:40Z,"DAVOS, Switzerland (AP) — Soaring inflation. Russia’s war in Ukraine. Squeezed supply chains. The threat of food insecurity around the world. The lingering COVID-19 pandemic. The risks to the global economy are many, and it’s led to an increasingly gloomy vie…","DAVOS, Switzerland (AP) Soaring inflation. Russias war in Ukraine. Squeezed supply chains. The threat of food insecurity around the world. The lingering COVID-19 pandemic.
The risks to the global ec… [+5500 chars]"
No nukes? War will shape globe's arsenals...,https://apnews.com/article/russia-ukraine-middle-east-africa-south-korea-persian-gulf-tensions-8c6bd3929ee3fe407ea9627168fc6132,2022-06-21T11:52:38Z,"No nukes? War will shape globe's arsenals...

 
 
 
 (First column, 11th story, link)

 

 

 
 Related stories:Zelenskiy defiant as Russia intensifies attacks on eastern cities, seizes territory...
Putin vows to build new world order...
TELEGRAM encryp…","The headlines on the newsstands in Seoul blared fresh warnings of a possible nuclear test by North Korea. 
Out on the sidewalks, 28-year-old office worker Lee Jae Sang already had an opinion about h… [+8098 chars]"
"Stock market updates: Live coverage, including Federal Reserve decision - The Associated Press - en Español",https://apnews.com/article/stock-market-updates-today-june-15-927c4420702d69f1fde6d07b3678e61a,2022-06-15T16:18:45Z,"<ol><li>Stock market updates: Live coverage, including Federal Reserve decision  The Associated Press - en Español
</li><li>LIVE: Watch stocks trade in real time ⁠as investors brace for a big Fed rate hike — 6/15/2022  CNBC Television
</li><li>Stocks have o…","NEW YORK (AP) U.S. stocks are rallying Wednesday, on track for their first gain in six days, but more turbulence may be ahead when the Federal Reserve announces in the afternoon how sharply its raisi… [+4346 chars]"
Afghan Taliban launch campaign to eradicate poppy crop - The Associated Press - en Español,https://apnews.com/article/afghanistan-politics-taliban-asia-d228b020cdc7538d3cf66c2e08a905fc,2022-06-02T07:20:23Z,"WASHIR, Afghanistan (AP) — Afghanistan’s Taliban rulers have begun a campaign to eradicate poppy cultivation, aiming to wipe out the country’s massive production of opium and heroin, even as farmers fear their livelihoods will be ruined at a time of growing p…","WASHIR, Afghanistan (AP) Afghanistans Taliban rulers have begun a campaign to eradicate poppy cultivation, aiming to wipe out the countrys massive production of opium and heroin, even as farmers fear… [+4290 chars]"
Muslim nations slam India over insulting remarks about Islam - The Associated Press - en Español,https://apnews.com/article/afghanistan-middle-east-india-new-delhi-pakistan-364cd94bd3b9895be5a4857f68262a9d,2022-06-06T09:56:15Z,"<ol><li>Muslim nations slam India over insulting remarks about Islam  The Associated Press - en Español
</li><li>Nupur Sharma: Prophet Muhammad controversy tests India-Islamic world ties  BBC
</li><li>India: Diplomatic storm over BJP staff insult of Prophet…",NEW DELHI (AP) India is facing major diplomatic outrage from Muslim-majority countries after top officials in the governing Hindu nationalist party made derogatory references to Islam and the Prophet… [+5640 chars]
Stock market approaches bear territory: Live updates - The Associated Press - en Español,https://apnews.com/974e78ed90b690bbeeb39afda8c8d72d/,2022-06-13T20:27:50Z,"<ol><li>Stock market approaches bear territory: Live updates  The Associated Press - en Español
</li><li>S&P In Bear Market for First Time Since March 2020  Bloomberg Markets and Finance
</li><li>Dow tumbles 876 points and stocks enter bear market on worrie…","TOKYO (AP) Asian shares fell across the board Tuesday after Wall Street tumbled into a bear market, indicating that major U.S. benchmarks and individual stocks have fallen 20% or more from a recent h… [+4525 chars]"
"Business Highlights: Inflation seen still high, stocks rally - The Associated Press - en Español",https://apnews.com/c29c5e77e4a322771b2819b60394cd1c,2022-06-07T21:27:22Z,"____ Crypto meltdown is wake-up call for many, including Congress NEW YORK (AP) — Meltdowns in the cryptocurrency space are common, but the latest one has served as a vivid reminder that investors, both professionals and rookies, can be rolling the dice when …","____
Crypto meltdown is wake-up call for many, including Congress
NEW YORK (AP) Meltdowns in the cryptocurrency space are common, but the latest one has served as a vivid reminder that investors, b… [+7469 chars]"
"Business Highlights: Biden's inflation fight, consumer pulse - The Associated Press - en Español",https://apnews.com/article/russia-ukraine-biden-inflation-bd11e20ab5c5ff686ea4b5ed75b13562,2022-05-31T22:09:43Z,"___ Biden plots inflation fight with Fed chair as nation worries WASHINGTON (AP) — President Joe Biden has met with Federal Reserve Chairman Jerome Powell, talking inflation fighting. Biden hoped the meeting on Tuesday would demonstrate his concern to voters,…","___
Biden plots inflation fight with Fed chair as nation worries
WASHINGTON (AP) President Joe Biden has met with Federal Reserve Chairman Jerome Powell, talking inflation fighting. Biden hoped the… [+5965 chars]"
"US, S. Korea fire missiles to sea, matching North's launches - The Associated Press - en Español",https://apnews.com/article/joint-chiefs-of-staff-south-korea-north-pyongyang-213c15e68a41ff39ee33e522766a7f01,2022-06-06T01:57:47Z,"<ol><li>US, S. Korea fire missiles to sea, matching North's launches  The Associated Press - en Español
</li><li>S.Korea, U.S. launch eight missiles in response to N.Korea missile tests  Yahoo News
</li><li>North Korea fires volley of missiles after US, Sou…","SEOUL, South Korea (AP) The U.S. and South Korean militaries launched eight ballistic missiles into the sea Monday in a show of force matching a North Korean missile display a day earlier that extend… [+4864 chars]"
"Afghans bury dead, dig for survivors after quake kills 1000 - The Associated Press",https://apnews.com/3b1e0b316326c0fbcde3b7e4447eed03,2022-06-23T10:07:30Z,"<ol><li>Afghans bury dead, dig for survivors after quake kills 1000  The Associated Press
</li><li>June 22, 2022 Afghanistan earthquake news  CNN
</li><li>UN readies for possible cholera outbreak after Afghanistan earthquake  Reuters.com
</li><li>Afghanist…","GAYAN, Afghanistan (AP) Villagers rushed to bury the dead Thursday and dug by hand through the rubble of their homes in search of survivors of a powerful earthquake in eastern Afghanistan that state … [+6709 chars]"
"Stocks climb on Wall Street, led by more gains in tech - The Associated Press",https://apnews.com/article/elon-musk-twitter-inc-financial-markets-0e7ee3d38098e467a25371719a413511,2022-06-06T15:45:05Z,"NEW YORK (AP) — U.S. stocks ticked higher Monday as Wall Street keeps wrestling with whether the economy will successfully avoid a recession amid rising interest rates and high inflation. The S&P 500 rose 12.89 points, or 0.3%, to 4,121.43 after swinging thro…","NEW YORK (AP) U.S. stocks ticked higher Monday as Wall Street keeps wrestling with whether the economy will successfully avoid a recession amid rising interest rates and high inflation.
The S&amp;P … [+4183 chars]"
"Stocks climb on Wall Street, led by more gains in tech - The Associated Press",https://apnews.com/article/technology-tokyo-hong-kong-financial-markets-0d668272ad7ea12bbe4ee2fbe90b75e0,2022-06-06T13:41:15Z,NEW YORK (AP) — Stocks are off to a higher start on Wall Street Monday led by more gains in big tech companies. The S&P 500 was up 0.8%. The benchmark index is coming off its eighth losing week in the last nine.,NEW YORK (AP) Stocks are off to a higher start on Wall Street Monday led by more gains in big tech companies. The S&amp;P 500 was up 0.8%. The benchmark index is coming off its eighth losing week in … [+2729 chars]
EXPLAINER: Why Sri Lanka's economy collapsed and what's next - The Associated Press,https://apnews.com/article/china-asia-india-united-nations-f29f33977d9089fc0f1b1c99da5ea343,2022-06-23T11:53:25Z,"<ol><li>EXPLAINER: Why Sri Lanka's economy collapsed and what's next  The Associated Press
</li><li>Sri Lanka's economy has 'completely collapsed,' Prime Minister says  CNN
</li><li>Sri Lanka’s Prime Minister Says Economy Faces ‘Complete Collapse’  The Wall…","COLOMBO, Sri Lanka (AP) Sri Lankas prime minister says the island nations debt-laden economy has collapsed as it runs out of money to pay for food and fuel. Short of cash to pay for imports of such n… [+5152 chars]"
Stock market news: Live updates - The Associated Press - en Español,https://apnews.com/article/stock-market-today-june-14-a5787764c28d57d02b9590b3ee3f4efa,2022-06-14T11:51:21Z,"<ol><li>Stock market news: Live updates  The Associated Press - en Español
</li><li>Dow tumbles 876 points and stocks enter bear market on worries of drastic rate hikes  CNN
</li><li>Asian shares fall overnight after Wall Street hits bear market  WCVB Chann…","TOKYO (AP) Global stocks drifted lower Tuesday in the wake of Wall Streets tumble into a bear market, as investors anxiously contemplated a new and uncertain world of higher interest rates, internati… [+4385 chars]"
"High prices, Asian markets could blunt EU ban on Russian oil - The Associated Press",https://apnews.com/article/russia-ukraine-european-union-global-trade-government-and-politics-116cf5eeba7f1a4df46d7f6a574b2de9,2022-05-31T18:56:15Z,"BRUSSELS (AP) — The European Union’s groundbreaking decision to ban nearly all oil from Russia to punish the country for its invasion of Ukraine is a blow to Moscow’s economy, but its effects may be blunted by rising energy prices and other countries willing …","BRUSSELS (AP) The European Unions groundbreaking decision to ban nearly all oil from Russia to punish the country for its invasion of Ukraine is a blow to Moscows economy, but its effects may be blun… [+4894 chars]"
Challenge for Biden to rally Americas around a shared vision - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-biden-government-and-politics-business-6c477ae1abaab57acf9f1f211b429f6a,2022-06-09T19:18:45Z,"<ol><li>Challenge for Biden to rally Americas around a shared vision  The Associated Press - en Español
</li><li>Biden Hosts Summit of the Americas: Live Updates  The New York Times
</li><li>Jill Biden plays host at fraught diplomatic summit  CNN
</li><li>…",LOS ANGELES (AP) President Joe Biden tried to present a unifying vision for the Western Hemisphere on Thursday even as the Summit of the Americas has been wracked by divisions and absences that make … [+5680 chars]
Australian leader visits Indonesia's Makassar to deepen ties,https://apnews.com/5464143ab077a27d5d910cd526dd27a1,2022-06-07T07:48:05Z,Australian Prime Minister Anthony Albanese has visited an eastern Indonesia area with close ties to Indigenous Australians as he continued a trip aiming to strengthen his country’s economic ties with its closest major neighbor. Albanese said visiting Makassar…,"By NINIEK KARMINI - Associated Press
JAKARTA, Indonesia (AP) Australian Prime Minister Anthony Albanese on Tuesday visited an eastern Indonesia area with close ties to Indigenous Australians as he c… [+3201 chars]"
China's Xi reasserts support for Russia on security issues,https://apnews.com/be6784db91d28a5f44b5998c289a22da,2022-06-15T13:12:53Z,Chinese President Xi Jinping has reasserted his country's support for Russia on issues of sovereignty and security in a phone call with Russian leader Vladimir Putin. State media say Xi told Putin that China is “willing to work with Russia…,"BEIJING (AP) Chinese President Xi Jinping reasserted his countrys support for Russia on issues of sovereignty and security in a phone call with Russian leader Vladimir Putin on Wednesday, state media… [+3176 chars]"
Wall Street points lower with eye on May jobs report,https://apnews.com/fdc443144087213ca48d9c239f2fbb25,2022-06-03T12:21:43Z,"Wall Street was poised for losses Friday ahead of the U.S. government’s monthly jobs report, which analysts expect to show some softening in an otherwise strong labor market. Futures for the Dow industrials were down 0.4% while futures for the…","NEW YORK (AP) Wall Street pointed lower ahead of the opening bell Friday ahead of the U.S. government's monthly jobs report, which analysts expect to show some softening in an otherwise strong labor … [+3378 chars]"
Japan PM's cautious course sets up potential long-term rule,https://apnews.com/ffd97263d238b655481f3a44228f741b,2022-06-16T01:04:52Z,"Japanese Prime Minister Fumio Kishida, despite an underwhelming start eight months ago, is enjoying surprising popularity by playing it safe as the public's worries about the coronavirus and global conflicts ease. He has achieved few policy goals, but has als…","By MARI YAMAGUCHI - Associated Press
TOKYO (AP) Japanese Prime Minister Fumio Kishida did not look like he'd last long when he took office eight months ago.
He was seen as nice, but indecisive and … [+5819 chars]"
US official vows 'forceful response' if N. Korea tests nuke,https://apnews.com/c06b567810e29c38177171e651ea4e8a,2022-06-07T04:55:15Z,The U.S. deputy secretary of state warned of a forceful response if North Korea carries out its first nuclear test explosion in nearly five years. Wendy Sherman traveled Tuesday to Seoul to meet with South Korean and Japanese allies and…,"By KIM TONG-HYUNG - Associated Press
SEOUL, South Korea (AP) U.S. Deputy Secretary of State Wendy Sherman on Tuesday warned of a forceful response if North Korea carries out its first nuclear test e… [+4895 chars]"
"Wall Street, global markets fall in wake of bond sell-off",https://apnews.com/c49b0002d13c8639ec88de4d4eee5784,2022-06-07T12:27:04Z,"Wall Street was poised to open lower on Tuesday, after a bond sell-off a day earlier fueled anxiety about a possible U.S. economic slowdown. Futures for the Dow Jones Industrial Average fell 0.7% and futures for the S&P 500 dipped…","NEW YORK (AP) Wall Street is pointing to a lower open Tuesday after a bond sell-off fueled anxiety about a possible U.S. economic slowdown, as well as more potentially adverse news from a major retai… [+3882 chars]"
Editorial Roundup:,https://apnews.com/50ee9ae1fd38abccbf0b076ea9b86dfd,2022-06-22T17:29:44Z,Excerpts from recent editorials in the United States and abroad:,"Excerpts from recent editorials in the United States and abroad:
June 21
The Washington Post says it is crucial the White House stick up for what would be the FDAs most assertive antismoking policy… [+24108 chars]"
US official says diplomatic push in Asia paying dividends,https://apnews.com/de635c39e75c3b9f7603cff696421db0,2022-06-10T11:18:31Z,"A top State Department official says the American diplomatic push aimed at countering China’s increasing influence in the Asia-Pacific region appears to be paying dividends, with many nations showing a willingness to partner with the United States. U.S. State…","By DAVID RISING - Associated Press
BANGKOK (AP) The American diplomatic push aimed at countering China's increasing influence in the Asia-Pacific region appears to be paying dividends, with many nat… [+4721 chars]"
Wall St. heads higher after Fed confirms rate hike plans,https://apnews.com/7afbec0bda1b086abdfe0b6bdfba17e0,2022-05-26T11:54:05Z,"U.S. markets marched higher before the open, one day after notes from the Federal Reserve’s latest meeting confirmed expectations of more interest rate hikes but held no surprises to rattle investors. On Wall Street, futures for the benchmark Dow Jones…","NEW YORK (AP) U.S. markets marched higher before the open, one day after details from the Federal Reserve's latest meeting confirmed expectations of more interest rate hikes but no big surprises.
On… [+3102 chars]"
EXPLAINER: What's next after Russia reduced gas to Europe?,https://apnews.com/975697a5237f3eebae7fd32cf645def0,2022-06-21T07:06:01Z,"The war in Ukraine is fueling fears of a natural gas emergency in Europe. Russia has throttled back supplies to more countries, this time to major economies and major users such as Germany and Italy. Supplies are enough to generate…",Its not a summer heat wave that's making European leaders and businesses sweat. It's fear that Russia's manipulation of natural gas supplies will lead to an economic and political crisis next winter.… [+7564 chars]
Biden seeks consensus at fractured Americas summit,https://apnews.com/6c477ae1abaab57acf9f1f211b429f6a,2022-06-09T04:07:29Z,"President Joe Biden is kicking off his first full day at the Summit of the Americans in Los Angeles, which brings together leaders from across the hemisphere every few years. Biden is working toward new agreements on economic development, climate…","By CHRIS MEGERIAN and JOSH BOAK - Associated Press
WASHINGTON (AP) President Joe Biden plunged into this week's Summit of the Americas aiming to push for regional progress in addressing economic dev… [+6271 chars]"
"1B meth pills: East, SE Asia drug industry hits ominous peak",https://apnews.com/6099eca4096e2058d4f4b9819af03b49,2022-05-30T04:15:07Z,"The number of methamphetamine tablets seized in East and Southeast Asia exceeded a billion last year, highlighting the scale of illegal drug production and trafficking in the region. The U.N. Office on Drugs and Crime said the sum is seven…","By GRANT PECK - Associated Press
BANGKOK (AP) The number of methamphetamine tablets seized in East and Southeast Asia exceeded a billion last year for the first time, highlighting the scale of illeg… [+3708 chars]"
Wall Street futures point higher to open the week,https://apnews.com/0d668272ad7ea12bbe4ee2fbe90b75e0,2022-06-06T12:00:12Z,Wall Street futures jumped on Monday after the downturn in China’s service industries eased and news reports said the Biden administration might lift U.S. tariffs on some Chinese imports. Futures for the Dow climbed 0.9% and futures for the S&P…,NEW YORK (AP) Wall Street futures jumped Monday after the downturn in China's service industries eased and reports that the Biden administration MAY lift U.S. tariffs on some Chinese imports like sol… [+2320 chars]
Wall Street opens gingerly higher at end of a brutal week,https://apnews.com/1e1a749c99e00620be5736e34f3d3ad8,2022-06-17T13:48:43Z,Stocks are opening gingerly higher on Wall Street Friday at the end of a brutal week. Stocks suffered several massive drops this week as markets get accustomed to the bitter medicine of higher interest rates that the Federal Reserve and…,NEW YORK (AP) Stocks are opening gingerly higher on Wall Street Friday at the end of a brutal week. Stocks suffered several massive drops this week as markets get accustomed to the bitter medicine of… [+3557 chars]
Stocks slip as falling oil prices weigh on energy sector,https://apnews.com/dcfbfa16d2b567d7b87c2eccbc0d1883,2022-06-22T13:46:55Z,"Stocks are opening lower on Wall Street as sharp drops in crude oil prices pull energy companies lower. Big technology stocks were also lower, but major indexes were still holding on to gains for the week. The S&P 500 was…","NEW YORK (AP) Stocks are opening lower on Wall Street as sharp drops in crude oil prices pull energy companies lower. Big technology stocks were also lower, but major indexes were still holding on to… [+3845 chars]"
Muslim nations slam India over insulting remarks about Islam,https://apnews.com/364cd94bd3b9895be5a4857f68262a9d,2022-06-06T07:46:25Z,"India is facing major diplomatic outrage from Muslim countries after two top officials in the ruling Hindu nationalist party made derogatory references to Islam and the Prophet. At least five Arab nations have made official protests, and Pakistan and Afghanis…","By SHEIKH SAALIQ - Associated Press
NEW DELHI (AP) India is facing major diplomatic outrage from Muslim countries after top officials in the ruling Hindu nationalist party made derogatory references… [+5154 chars]"
No nukes? Ukraine-Russian war will shape world's arsenals,https://apnews.com/8c6bd3929ee3fe407ea9627168fc6132,2022-06-21T04:12:53Z,Nuclear Russia's pillaging of non-nuclear Ukraine is rattling what's already a destabilizing moment in nuclear nonproliferation efforts. Security experts say the result of Ukraine’s fight against Russia will influence how other countries with nuclear rivals t…,"By ELLEN KNICKMEYER and YONG JUN CHANG - Associated Press
The headlines on the newsstands in Seoul blared fresh warnings of a possible nuclear test by North Korea.
Out on the sidewalks, 28-year-old… [+8435 chars]"
Biden's mission in Europe: Shore up alliance against Russia,https://apnews.com/090e5cc5390acf29a069334dba0a5b47,2022-06-25T14:19:20Z,President Joe Biden is aiming to sustain the global alliance punishing Russia for its invasion of Ukraine as he embarks on a five-day trip to Europe. His trip comes as the four-month-old war shows no sign of abating and its…,"By ZEKE MILLER and DARLENE SUPERVILLE - Associated Press
WASHINGTON (AP) President Joe Biden is out to sustain the global alliance punishing Russia for its invasion of Ukraine as he embarks on a fiv… [+6619 chars]"
"Asia shares slide across board amid rate hike, COVID worries",https://apnews.com/9fdc33cea1e780d8b4213384ef6b3ca0,2022-06-02T06:54:32Z,"Asian shares are mostly lower, echoing a decline on Wall Street as investors fret about higher interest rates and rising coronavirus cases in parts of the region. Benchmarks fell in Tokyo, Hong Kong, Seoul and Sydney, but gained in Shanghai.…","By YURI KAGEYAMA - AP Business Writer
TOKYO (AP) Asian shares mostly declined Thursday, echoing a retreat on Wall Street as investors fretted about higher interest rates and rising coronavirus cases… [+5011 chars]"
EXPLAINER: Why Sri Lanka's economy collapsed and what's next,https://apnews.com/f29f33977d9089fc0f1b1c99da5ea343,2022-06-23T09:08:26Z,Sri Lanka’s prime minister says the island nation's debt-laden economy has “collapsed” as it runs out of money to pay for food and fuel. The country is seeking help from neighboring India and China and from the International Monetary Fund.…,"By KRISHAN FRANCIS and ELAINE KURTENBACH - Associated Press
COLOMBO, Sri Lanka (AP) Sri Lankas prime minister says the island nations debt-laden economy has collapsed as it runs out of money to pay … [+6768 chars]"
Asia shares mixed after Fed assurance on rates lifts Wall St,https://apnews.com/859cf34a8a2bba21e76c585356bb961b,2022-06-16T06:32:41Z,"Asian shares are mixed after the Federal Reserve raised its key interest rate by three-quarters of a point and signaled more rate hikes were coming to fight inflation. Wall Street rallied after the Fed's hike, the biggest since 1994, as…","By YURI KAGEYAMA - AP Business Writer
TOKYO (AP) Asian shares were mixed Thursday after the Federal Reserve raised its key interest rate by three-quarters of a point and signaled more rate hikes wer… [+6133 chars]"
Asian benchmarks decline after bear market hits Wall Street,https://apnews.com/a5787764c28d57d02b9590b3ee3f4efa,2022-06-14T05:46:18Z,"Asian shares fell across the board after Wall Street tumbled into what’s called a bear market, indicating that major U.S. benchmarks and individual stocks have fallen 20% or more from a recent high for a sustained period of time. Benchmarks…","By YURI KAGEYAMA - AP Business Writer
TOKYO (AP) Asian shares fell across the board Tuesday after Wall Street tumbled into a bear market, indicating that major U.S. benchmarks and individual stocks … [+6055 chars]"
Australian leader visits Indonesia's Makassar to deepen ties,https://apnews.com/5464143ab077a27d5d910cd526dd27a1,2022-06-07T07:48:05Z,Australian Prime Minister Anthony Albanese has visited an eastern Indonesia area with close ties to Indigenous Australians as he continued a trip aiming to strengthen his country’s economic ties with its closest major neighbor. Albanese said visiting Makassar…,"By NINIEK KARMINI - Associated Press
JAKARTA, Indonesia (AP) Australian Prime Minister Anthony Albanese on Tuesday visited an eastern Indonesia area with close ties to Indigenous Australians as he c… [+4667 chars]"
Solidarity behind Ukraine's Russia fight atop summit agendas,https://apnews.com/085c5f6d0fa199526a39725f9382b448,2022-06-24T12:35:45Z,Back-to-back world leader summits in Europe this weekend will focus on uniting Western nations behind Ukraine in its fight against Russia’s invasion and overcoming Turkey’s opposition to NATO membership for Finland and Sweden. The Group of Seven leading econo…,"By DARLENE SUPERVILLE - Associated Press
WASHINGTON (AP) Back-to-back world leader summits in Europe this weekend will focus on uniting Western nations behind Ukraine in its fight against Russia's i… [+10505 chars]"
"GLOBAL ECONOMY U.S. recession fears darken outlook for Japan, global factories - Reuters.com",https://www.reuters.com/markets/europe/global-economy-us-recession-fears-darken-outlook-japan-global-factories-2022-06-23/,2022-06-23T03:52:00Z,"Japan's factory activity growth slowed to a four-month low in June as China's COVID-19 curbs disrupted supply chains, while many other economies in Asia were also facing headwinds amid growing risks to the outlook from a potential U.S. recession.","TOKYO, June 23 (Reuters) - Japan's factory activity growth slowed to a four-month low in June as China's COVID-19 curbs disrupted supply chains, while many other economies in Asia were also facing he… [+3266 chars]"
China to miss boom in Asia buyout deals despite likely easing of crackdown - Reuters.com,https://www.reuters.com/markets/us/china-miss-boom-asia-buyout-deals-despite-likely-easing-crackdown-2022-06-14/,2022-06-14T06:54:00Z,"Buyout funds are set to extend a record spending spree in Asia to the rest of the year but they will be mostly seeking deals outside China, where concerns about the economy are likely to outweigh any easing of a regulatory crackdown, dealmakers said.","HONG KONG, June 14 (Reuters) - Buyout funds are set to extend a record spending spree in Asia to the rest of the year but they will be mostly seeking deals outside China, where concerns about the eco… [+3728 chars]"
Asian stocks slide as recession fears send Wall St into bear market - Reuters.com,https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-06-14/,2022-06-14T01:04:00Z,Asian shares tumbled on Tuesday after Wall Street officially entered bear market territory and bond yields hit a two-decade high on fears aggressive U.S. interest rate hikes would push the world's largest economy into recession.,"HONG KONG, June 14 (Reuters) - Asian shares tumbled on Tuesday after Wall Street officially entered bear market territory and bond yields hit a two-decade high on fears aggressive U.S. interest rate … [+2625 chars]"
Analysis: Investors say Asia a safe place as Fed hikes but premature to jump in - Reuters,https://www.reuters.com/markets/rates-bonds/investors-say-asia-safe-place-fed-hikes-premature-jump-2022-06-16/,2022-06-16T09:41:00Z,"Asia's emerging economies are better placed than most other regions to weather a bout of turbo-charged U.S. policy tightening, analysts say, but with a health warning that investors shouldn't rush in.","SINGAPORE/HONG KONG, June 16 (Reuters) - Asia's emerging economies are better placed than most other regions to weather a bout of turbo-charged U.S. policy tightening, analysts say, but with a health… [+4390 chars]"
"Asia stocks edge higher, dollar in the doldrums - Reuters.com",https://www.reuters.com/markets/europe/global-markets-wrapup-1-pix-2022-05-30/,2022-05-30T00:32:00Z,"Asian stocks followed Wall Street higher on Monday while the dollar was pinned near five-week lows as investors wagered on an eventual slowdown in U.S. monetary tightening, albeit after sharp hikes in June and July.","SYDNEY, May 30 (Reuters) - Asian stocks followed Wall Street higher on Monday while the dollar was pinned near five-week lows as investors wagered on an eventual slowdown in U.S. monetary tightening,… [+3562 chars]"
"Asia shares struggle, oil falls as recession fears linger - Reuters",https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-06-23/,2022-06-23T02:14:00Z,Asian shares wobbled while commodity prices fell on Thursday as mounting worries about the risks of a global recession amid aggressive rate hikes by the Federal Reserve kept broad investor sentiment fragile.,"BEIJING/HONG KONG, June 23 (Reuters) - Asian shares wobbled while commodity prices fell on Thursday as mounting worries about the risks of a global recession amid aggressive rate hikes by the Federal… [+3150 chars]"
