title,url,date_published,snippet,body
N.Korea reports 19310 new fever cases amid COVID-19 outbreak - KCNA - Reuters.com,https://www.reuters.com/world/asia-pacific/nkorea-reports-19310-new-fever-cases-amid-covid-19-outbreak-kcna-2022-06-18/,2022-06-18T21:15:00Z,"North Korea has recorded another 19,310 new fever cases amid its first official COVID-19 outbreak, state news agency KCNA reported on Sunday, without detailing how many of those patients had tested positive for the coronavirus.","SEOUL, June 19 (Reuters) - North Korea has recorded another 19,310 new fever cases amid its first official COVID-19 outbreak, state news agency KCNA reported on Sunday, without detailing how many of … [+324 chars]"
"S.Korea, U.S., Japan lambaste N.Korea missile tests, urge return to talks - Reuters",https://www.reuters.com/world/skorea-us-japan-lambaste-nkorea-missile-tests-urge-return-talks-2022-06-08/,2022-06-08T04:18:00Z,"North Korea's recent missile tests were ""serious, unlawful"" provocations, senior officials from South Korea, the United States and Japan said on Wednesday, urging Pyongyang to return to dialogue and accept offers of COVID-19 aid.","SEOUL, June 8 (Reuters) - North Korea's recent missile tests were ""serious, unlawful"" provocations, senior officials from South Korea, the United States and Japan said on Wednesday, urging Pyongyang … [+886 chars]"
N.Korea appoints Choe Son Hui as new foreign minister -KCNA - Reuters.com,https://www.reuters.com/world/china/nkorea-appoints-choe-son-hui-new-foreign-minister-kcna-2022-06-10/,2022-06-10T21:53:00Z,"North Korea appointed a key nuclear negotiator, Choe Son Hui, as its new foreign minister, state media said on Saturday, as the country concluded a ruling party meeting chaired by leader Kim Jong Un.","SEOUL, June 11 (Reuters) - North Korea appointed a key nuclear negotiator, Choe Son Hui, as its new foreign minister, state media said on Saturday, as the country concluded a ruling party meeting cha… [+505 chars]"
"S.Korea, U.S. condemn N.Korea nuclear test preparations - Reuters",https://www.reuters.com/world/asia-pacific/skorea-us-condemn-nkorea-nuclear-test-preparations-2022-06-11/,2022-06-11T04:56:00Z,"Defence ministers of South Korea and the United States on Saturday condemned North Korea's preparations for a nuclear test, saying this and a series of missile launches threaten the peace and safety of the Korean peninsula and the international community.","SEOUL, June 11 (Reuters) - Defence ministers of South Korea and the United States on Saturday condemned North Korea's preparations for a nuclear test, saying this and a series of missile launches thr… [+567 chars]"
"S.Korea, U.S. launch eight missiles in response to N.Korea missile firings - Reuters.com",https://www.reuters.com/world/asia-pacific/skorea-us-launch-eight-missiles-response-nkorea-missile-firings-2022-06-05/,2022-06-05T23:19:00Z,"South Korea and the United States fired eight surface-to-surface missiles early on Monday off South Korea's east coast in response to North Korea's short range ballistic missile launches on Sunday, the South's Yonhap news agency reported on Monday.","SEOUL, June 6 (Reuters) - South Korea and the United States fired eight surface-to-surface missiles early on Monday off South Korea's east coast in response to North Korea's short range ballistic mis… [+1441 chars]"
"N.Korea stockpiled Chinese masks, vaccines before reporting COVID-19 outbreak - Reuters",https://www.reuters.com/world/asia-pacific/nkorea-stockpiled-chinese-masks-vaccines-before-reporting-covid-19-outbreak-2022-05-27/,2022-05-27T09:06:00Z,"In the months before it acknowledged its first official COVID-19 outbreak, North Korea suddenly imported millions of face masks, 1,000 ventilators, and possibly vaccines from China, trade data released by Beijing showed.","BEIJING/SEOUL, May 27 (Reuters) - In the months before it acknowledged its first official COVID-19 outbreak, North Korea suddenly imported millions of face masks, 1,000 ventilators, and possibly vacc… [+1762 chars]"
N.Korea reports another infectious disease outbreak amid battle against COVID - Reuters.com,https://www.reuters.com/world/asia-pacific/nkorea-reports-another-infectious-disease-outbreak-amid-battle-against-covid-2022-06-16/,2022-06-16T00:54:00Z,"North Korea has reported an outbreak of an unidentified intestinal epidemic on Thursday, potentially adding to strains on the isolated country's healthcare system which is battling an unprecedented COVID-19 wave.","SEOUL, June 16 (Reuters) - North Korea has reported an outbreak of an unidentified intestinal epidemic on Thursday, potentially adding to strains on the isolated country's healthcare system which is … [+1735 chars]"
N. Korea abruptly stops importing COVID containment goods from China - Reuters,https://www.reuters.com/world/asia-pacific/n-korea-abruptly-stops-importing-covid-containment-goods-china-2022-06-20/,2022-06-20T07:20:00Z,"North Korea abruptly stopped importing COVID-19 prevention and control products from China in May, trade data released by Beijing showed, after the country bought face masks and ventilators from its neighbour in previous months.","BEIJING, June 20 (Reuters) - North Korea abruptly stopped importing COVID-19 prevention and control products from China in May, trade data released by Beijing showed, after the country bought face ma… [+1863 chars]"
"N.Korea vows to boost frontline military units' action plan, strengthen war deterrent - Reuters.com",https://www.reuters.com/world/asia-pacific/nkorea-vows-boost-frontline-military-units-action-plan-strengthen-war-deterrent-2022-06-23/,2022-06-23T21:38:00Z,"North Korea decided to boost the action plan of its military's frontline units as its leader Kim Jong Un ordered to strengthen the country's defence capabilities to overwhelm hostile forces, state media reported on Friday.","SEOUL, June 24 (Reuters) - North Korea decided to boost the action plan of its military's frontline units as its leader Kim Jong Un ordered to strengthen the country's defence capabilities to overwhe… [+516 chars]"
"China, Russia veto U.S. push for more U.N. sanctions on North Korea - Reuters.com",https://www.reuters.com/world/china-russia-veto-us-push-more-un-sanctions-north-korea-2022-05-26/,2022-05-26T20:58:00Z,"China and Russia vetoed on Thursday a U.S.-led push to impose more United Nations sanctions on North Korea over its renewed ballistic missile launches, publicly splitting the U.N. Security Council for the first time since it started punishing Pyongyang in 200…","UNITED NATIONS, May 26 (Reuters) - China and Russia vetoed on Thursday a U.S.-led push to impose more United Nations sanctions on North Korea over its renewed ballistic missile launches, publicly spl… [+2737 chars]"
South Korea says to boost defence capacity to counter North Korean threat - Reuters,https://www.reuters.com/world/asia-pacific/south-korea-says-boost-defence-capacity-counter-north-korean-threat-2022-06-12/,2022-06-12T02:06:00Z,South Korean Defence Minister Lee Jong-sup said on Sunday that his country would dramatically enhance its defence capabilities and work closely with the United States to counter North Korea's nuclear and missile threat.,"Ukraine Deputy Foreign Minister Dmytro Senik, U.S. Defence Secretary Lloyd Austin, South Korea Defence Minister Lee Jong-sup, Netherlands Defence Minister Kajsa Ollongren, Singapore Defence Minister … [+928 chars]"
North Korea's Kim Jong Un sends congratulations to Queen Elizabeth on Jubilee - Reuters UK,https://www.reuters.com/world/uk/north-koreas-kim-jong-un-sends-congratulations-queen-elizabeth-jubilee-2022-06-03/,2022-06-03T10:50:00Z,"North Korean leader Kim Jong Un has sent a message of congratulations to Queen Elizabeth, the reclusive state's foreign ministry said, as Britain celebrates her Platinum Jubilee.","SEOUL, June 3 (Reuters) - North Korean leader Kim Jong Un has sent a message of congratulations to Queen Elizabeth, the reclusive state's foreign ministry said, as Britain celebrates her Platinum Jub… [+809 chars]"
"Analysis: As N.Korea gears up for potential nuclear test, missiles get little domestic fanfare - Reuters.com",https://www.reuters.com/business/aerospace-defense/nkorea-gears-up-potential-nuclear-test-missiles-get-little-domestic-fanfare-2022-05-26/,2022-05-26T08:29:00Z,"North Korean state media has kept quiet about a recent flurry of missile tests amid an unprecedented coronavirus wave - perhaps to avoid overshadowing a potential nuclear test, analysts say.","SEOUL, May 26 (Reuters) - North Korean state media has kept quiet about a recent flurry of missile tests amid an unprecedented coronavirus wave - perhaps to avoid overshadowing a potential nuclear te… [+3269 chars]"
"After veto on North Korea, China says 'let's see' on U.N. action over a nuclear test - Reuters.com",https://www.reuters.com/world/asia-pacific/after-veto-north-korea-china-says-lets-see-un-action-over-nuclear-test-2022-06-09/,2022-06-09T20:05:00Z,"China's U.N. envoy said on Thursday that Beijing does not want to see North Korea carry out a new nuclear test, which is partly why China vetoed a U.S.-led bid to impose new U.N. sanctions on Pyongyang over renewed ballistic missiles launches.","UNITED NATIONS, June 9 (Reuters) - China's U.N. envoy said on Thursday that Beijing does not want to see North Korea carry out a new nuclear test, which is partly why China vetoed a U.S.-led bid to i… [+2961 chars]"
G7 foreign ministers decry latest North Korean ICBM test - Reuters,https://www.reuters.com/world/asia-pacific/g7-foreign-ministers-decry-latest-north-korean-icbm-test-2022-05-30/,2022-05-30T08:28:00Z,The Group of Seven major economies jointly condemned on Monday North Korea's latest intercontinental ballistic missile test and called on all U.N. member states to condemn the nuclear-armed state's actions.,"BERLIN, May 30 (Reuters) - The Group of Seven major economies jointly condemned on Monday North Korea's latest intercontinental ballistic missile test and called on all U.N. member states to condemn … [+711 chars]"
Analysis: S.Korea's robust response to N.Korea seen aiding Japan's military push - Reuters.com,https://www.reuters.com/world/asia-pacific/skoreas-robust-response-nkorea-seen-aiding-japans-military-push-2022-06-08/,2022-06-08T00:55:00Z,"South Korea's tougher stance towards the North under its new conservative president will be welcomed by Tokyo as Japan seeks to boost its military capabilities amid rising tensions on the Korean Peninsula and more broadly in the region, analysts say.","SEOUL, June 8 (Reuters) - South Korea's tougher stance towards the North under its new conservative president will be welcomed by Tokyo as Japan seeks to boost its military capabilities amid rising t… [+4040 chars]"
"N.Korea spent as much as $642 million on nukes in 2021, report estimates - Reuters.com",https://www.reuters.com/world/asia-pacific/nkorea-spent-much-642-million-nukes-2021-report-estimates-2022-06-15/,2022-06-15T00:32:00Z,"North Korea may have spent as much as $642 million on its nuclear programme last year, according to anti-nuclear activists, as the impoverished country appears ready to test a new weapon despite battling a COVID-19 outbreak and economic crisis.","SEOUL, June 15 (Reuters) - North Korea may have spent as much as $642 million on its nuclear programme last year, according to anti-nuclear activists, as the impoverished country appears ready to tes… [+2552 chars]"
N.Korea reports 88520 more people with fever symptoms amid COVID outbreak -KCNA - Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/nkorea-reports-88520-more-people-with-fever-symptoms-amid-covid-outbreak-kcna-2022-05-27/,2022-05-27T21:42:00Z,"North Korea's daily fever cases dropped to below 100,000 for the first time, state media said on Saturday, less than three weeks after the country's first acknowledgement of a COVID-19 outbreak.","SEOUL, May 28 (Reuters) - North Korea's daily fever cases dropped to below 100,000 for the first time, state media said on Saturday, less than three weeks after the country's first acknowledgement of… [+1770 chars]"
N.Korea sends aid to 800 families suffering from intestinal epidemic - Reuters,https://www.reuters.com/world/asia-pacific/nkorea-sends-aid-800-families-suffering-intestinal-epidemic-2022-06-17/,2022-06-17T00:13:00Z,"North Korean leader Kim Jong Un and other senior officials prepared aid to send to 800 families suffering from an unidentified intestinal epidemic, state media reported on Friday, as the country also battles its first COVID-19 outbreak.","SEOUL, June 17 (Reuters) - North Korean leader Kim Jong Un and other senior officials prepared aid to send to 800 families suffering from an unidentified intestinal epidemic, state media reported on … [+1869 chars]"
N.Korea expands restoration at nuke test site to second tunnel -report - Reuters.com,https://www.reuters.com/world/asia-pacific/nkorea-expands-restoration-nuke-test-site-second-tunnel-report-2022-06-16/,2022-06-16T00:05:00Z,"North Korea appears to be expanding restoration work at its nuclear test site to include a second tunnel, a U.S.-based think tank said on Thursday, as South Korean and U.S. officials say a new nuclear test could happen any day.","SEOUL, June 16 (Reuters) - North Korea appears to be expanding restoration work at its nuclear test site to include a second tunnel, a U.S.-based think tank said on Thursday, as South Korean and U.S.… [+1814 chars]"
"N.Korea fires multiple artillery shots, S.Korea says - Reuters",https://www.reuters.com/world/asia-pacific/nkorea-fires-multiple-artillery-shots-skorea-says-2022-06-12/,2022-06-12T15:03:00Z,"North Korea on Sunday fired multiple artillery shots between 8:07 a.m. and 11:03 a.m. local time, South Korea's military said, in another show of force a day after leader Kim Jong Un vowed to boost the reclusive nation's military power.","SEOUL, June 12 (Reuters) - North Korea on Sunday fired multiple artillery shots between 8:07 a.m. and 11:03 a.m. local time, South Korea's military said, in another show of force a day after leader K… [+723 chars]"
S.Korea's Yoon calls for coordinated U.N. response to N.Korea's provocations -media - Reuters,https://www.reuters.com/world/asia-pacific/skoreas-yoon-calls-coordinated-un-response-nkoreas-provocations-media-2022-06-17/,2022-06-17T02:12:00Z,"South Korea's President Yoon Suk-yeol said the United Nations Security Council should respond in a coordinated manner against North Korea's missile provocations, South Korea's Newsis reported on Friday.","SEOUL, June 17 (Reuters) - South Korea's President Yoon Suk-yeol said the United Nations Security Council should respond in a coordinated manner against North Korea's missile provocations, South Kore… [+430 chars]"
S.Korea plans to establish diplomatic mission to NATO in Brussels - Reuters,https://www.reuters.com/world/asia-pacific/skorea-plans-establish-diplomatic-mission-nato-brussels-2022-06-22/,2022-06-22T07:27:00Z,"South Korea plans to set up a delegation to NATO in Brussels, the national security adviser said on Wednesday, as Seoul pushes to strengthen its partnership with the organisation and play a bigger role on the global stage.","SEOUL, June 22 (Reuters) - South Korea plans to set up a delegation to NATO in Brussels, the national security adviser said on Wednesday, as Seoul pushes to strengthen its partnership with the organi… [+1761 chars]"
"WHO says COVID in N.Korea likely 'getting worse, not better' - Reuters",https://www.reuters.com/world/asia-pacific/who-says-covid-nkorea-likely-getting-worse-not-better-2022-06-02/,2022-06-02T00:01:00Z,"The World Health Organization has cast doubts on North Korea's claims of progress in the fight against a COVID-19 outbreak, saying it believes the situation is getting worse, not better, amid an absence of independent data.","SEOUL, June 2 (Reuters) - The World Health Organization has cast doubts on North Korea's claims of progress in the fight against a COVID-19 outbreak, saying it believes the situation is getting worse… [+2177 chars]"
N.Korea's Kim oversees military meeting amid potential nuclear test - Reuters,https://www.reuters.com/world/asia-pacific/nkoreas-kim-oversees-military-meeting-amid-potential-nuclear-test-2022-06-22/,2022-06-22T22:54:00Z,"North Korean leader Kim Jong Un continued to preside over the second day of the nation's major party meeting on its military and defence policies on Wednesday, the state media reported on Thursday, amid concerns over a potential imminent nuclear test.","SEOUL, June 23 (Reuters) - North Korean leader Kim Jong Un continued to preside over the second day of the nation's major party meeting on its military and defence policies on Wednesday, the state me… [+2157 chars]"
LG Energy Solution to invest $568 mln in South Korean factories - Reuters.com,https://www.reuters.com/business/energy/lg-energy-solution-invest-568-mln-south-korean-factories-2022-06-13/,2022-06-13T07:56:00Z,"LG Energy Solution <a href=""https://www.reuters.com/companies/373220.KS"" target=""_blank"">(373220.KS)</a> said on Monday it will invest 730 billion won ($567.76 million) to expand its production capacity at its Ochang production site in South Korea.","SEOUL, June 13 (Reuters) - LG Energy Solution (373220.KS) said on Monday it will invest 730 billion won ($567.76 million) to expand its production capacity at its Ochang production site in South Kore… [+1174 chars]"
"S.Korea's KNOC to focus on energy security, push cleaner fuels goal- CEO - Reuters",https://www.reuters.com/business/sustainable-business/skoreas-knoc-focus-energy-security-push-cleaner-fuels-goal-ceo-2022-06-02/,2022-06-02T05:24:00Z,"South Korea's state-run Korea National Oil Corp (KNOC) is looking to secure more oil and gas, while stepping up energy transition efforts to become carbon neutral by 2030, its CEO said.","DAEGU, South Korea, June 2 (Reuters) - South Korea's state-run Korea National Oil Corp (KNOC) is looking to secure more oil and gas, while stepping up energy transition efforts to become carbon neutr… [+2177 chars]"
"South Korea needs Australian LNG with carbon capture, Santos CEO says - Reuters.com",https://www.reuters.com/markets/commodities/south-korea-needs-australian-lng-with-carbon-capture-santos-ceo-says-2022-05-26/,2022-05-26T08:16:00Z,"Santos Ltd <a href=""https://www.reuters.com/companies/STO.AX"" target=""_blank"">(STO.AX)</a> urged South Korea on Thursday to invest in Australian gas combined with carbon capture and storage to help meet South Korea's needs until 2050.","MELBOURNE, May 26 (Reuters) - Santos Ltd (STO.AX) urged South Korea on Thursday to invest in Australian gas combined with carbon capture and storage to help meet South Korea's needs until 2050.
Aust… [+2028 chars]"
Japan hosts military symposium U.S. hopes will help contain China - Reuters,https://www.reuters.com/world/asia-pacific/japan-hosts-military-symposium-us-hopes-will-help-contain-china-2022-06-16/,2022-06-16T09:30:00Z,"Military commanders from Japan, the United States, South Korea, the Philippines and fourteen other countries met in Tokyo this week for a gathering that Washington hopes will help forge cooperation between nations that can help it contain China.","TOKYO, June 16 (Reuters) - Military commanders from Japan, the United States, South Korea, the Philippines and fourteen other countries met in Tokyo this week for a gathering that Washington hopes wi… [+2550 chars]"
Kishida unveils shift in diplomacy to meet external challenges faced by Japan - Reuters.com,https://www.reuters.com/world/asia-pacific/kishida-unveils-shift-diplomacy-meet-external-challenges-faced-by-japan-2022-06-10/,2022-06-10T13:19:00Z,"Japan's Prime Minister Fumio Kishida unveiled what he called a shift to ""realistic"" diplomacy on Friday to help his country tackle the dangers it faces in a world shaken by Russia's invasion of Ukraine.","TOKYO, June 10 (Reuters) - Japan's Prime Minister Fumio Kishida unveiled what he called a shift to ""realistic"" diplomacy on Friday to help his country tackle the dangers it faces in a world shaken by… [+1926 chars]"
S.Korea says no evidence of defection from official shot dead by N.Korea - Reuters,https://www.reuters.com/world/asia-pacific/skorea-says-no-evidence-defection-official-shot-dead-by-nkorea-2022-06-16/,2022-06-16T07:04:00Z,"There was no evidence that the South Korean fisheries official shot and burned by North Korean troops in 2020 intended to defect, South Korea's maritime and military authorities said on Thursday, reversing its earlier announcement.","SEOUL, June 16 (Reuters) - There was no evidence that the South Korean fisheries official shot and burned by North Korean troops in 2020 intended to defect, South Korea's maritime and military author… [+2338 chars]"
Breakingviews - South Korea steps up to a fearful new world - Reuters,https://www.reuters.com/breakingviews/south-korea-steps-up-fearful-new-world-2022-06-13/,2022-06-13T03:12:00Z,"South Korea is having a moment. As governments around the world fret about surging commodity prices, fragile economic growth and volatile markets, newly elected President Yoon Suk-yeol is kicking things off on a surprisingly upbeat note. Local companies are b…","HONG KONG, June 13 (Reuters Breakingviews) - South Korea is having a moment. As governments around the world fret about surging commodity prices, fragile economic growth and volatile markets, newly e… [+5239 chars]"
Tight Asia capacity limits room for new LNG ships - Korea Shipbuilding exec - Reuters,https://www.reuters.com/business/energy/tight-asia-capacity-limits-room-new-lng-ships-korea-shipbuilding-exec-2022-06-02/,2022-06-02T02:32:00Z,"Korea Shipbuilding & Offshore Engineering (KSOE) <a href=""https://www.reuters.com/companies/009540.KS"" target=""_blank"">(009540.KS)</a> has mostly filled its order book for the next 2-1/2 years as the pandemic drove demand for container ships, leaving little r…","SEOUL, June 2 (Reuters) - Korea Shipbuilding &amp; Offshore Engineering (KSOE) (009540.KS) has mostly filled its order book for the next 2-1/2 years as the pandemic drove demand for container ships, … [+2380 chars]"
Japan's Kishida may join NATO summit to discuss Ukraine crisis -Kyodo - Reuters,https://www.reuters.com/world/japans-kishida-may-join-nato-summit-discuss-ukraine-crisis-kyodo-2022-06-04/,2022-06-04T04:57:00Z,"Japanese Prime Minister Fumio Kishida is leaning toward attending a summit of leaders from the North Atlantic Treaty Organization (NATO) in late June to spur coordination with the West over Russia's invasion of Ukraine, Kyodo News reported, citing unnamed gov…","TOKYO, June 4 (Reuters) - Japanese Prime Minister Fumio Kishida is leaning toward attending a summit of leaders from the North Atlantic Treaty Organization (NATO) in late June to spur coordination wi… [+1490 chars]"
What you need to know about the coronavirus right now - Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/what-you-need-know-about-coronavirus-right-now-2022-05-27/,2022-05-27T12:57:00Z,What you need to know about the coronavirus right now  Reuters,"May 27 (Reuters) - Here's what you need to know about the pandemic right now:
Shanghai takes baby steps towards ending lockdown
Shanghai took more gradual steps on Friday towards lifting its COVID-… [+3503 chars]"
Japan's Kishida may join NATO summit to discuss Ukraine crisis -Kyodo - Reuters,https://www.reuters.com/article/us-ukraine-crisis-nato-japan-idUSKBN2NL02X,2022-06-04T04:56:00Z,"Japanese Prime Minister Fumio Kishida is leaning toward attending a summit of leaders from the North Atlantic Treaty Organization (NATO) in late June to spur coordination with the West over Russia's invasion of Ukraine, Kyodo News reported, citing unnamed gov…","By Reuters Staff
FILE PHOTO: Fumio Kishida, Japan's prime minister, departs after a news conference following the Quadrilateral Security Dialogue (Quad) leaders meeting at the prime minister's offic… [+1534 chars]"
South Korea trucker strike poses early test for new president - Reuters.com,https://www.reuters.com/world/asia-pacific/south-korea-trucker-strike-poses-early-test-new-president-2022-06-10/,2022-06-10T09:42:00Z,"A strike by South Korean truckers poses an early test for President Yoon Suk-yeol after a month in office, with the dispute threatening to distract from his agenda while raising the risk of long-term antagonism with powerful trade unions.","SEOUL, June 10 (Reuters) - A strike by South Korean truckers poses an early test for President Yoon Suk-yeol after a month in office, with the dispute threatening to distract from his agenda while ra… [+3646 chars]"
"At Asia security summit, Japan vows to boost regional security role - Reuters.com",https://www.reuters.com/world/asia-pacific/asia-security-summit-japan-vows-boost-regional-security-role-2022-06-10/,2022-06-10T14:29:00Z,"Japan's Prime Minister Fumio Kishida pledged on Friday to boost its regional security presence to counter multiple threats, from China's expansion in the South China Sea to North Korea's nuclear missile programme.","SINGAPORE, June 10 (Reuters) - Japan's Prime Minister Fumio Kishida pledged on Friday to boost its regional security presence to counter multiple threats, from China's expansion in the South China Se… [+3371 chars]"
Japan to 'drastically strengthen' military capability - draft - Reuters,https://www.reuters.com/world/japan-drastically-strengthen-military-capability-draft-2022-05-27/,2022-05-27T08:27:00Z,"Japan aims to ""drastically strengthen"" its military capabilities, according to an economic policy draft seen by Reuters, as officials worry that Russia's invasion of Ukraine could prompt instability in East Asia.","TOKYO, May 27 (Reuters) - Japan aims to ""drastically strengthen"" its military capabilities, according to an economic policy draft seen by Reuters, as officials worry that Russia's invasion of Ukraine… [+2594 chars]"
Factbox: Latest on the worldwide spread of the coronavirus - Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/latest-worldwide-spread-coronavirus-2022-01-03/,2022-05-30T07:36:00Z,"Streets in Beijing were busier on Monday as residents in two districts were allowed to return to work, while Shanghai inched closer towards lifting its two-month-old COVID-19 lockdown this week, as the number of cases across China fell. <a href=""/world/china/…","May 30 (Reuters) - Streets in Beijing were busier on Monday as residents in two districts were allowed to return to work, while Shanghai inched closer towards lifting its two-month-old COVID-19 lockd… [+3097 chars]"
What you need to know about the coronavirus right now - Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/what-you-need-know-about-coronavirus-right-now-2022-05-31/,2022-05-31T14:03:00Z,What you need to know about the coronavirus right now  Reuters,"May 31 (Reuters) - Here's what you need to know about the pandemic right now:
Shanghai to lift COVID lockdown
Shanghai authorities on Tuesday began dismantling fences around housing compounds and r… [+3177 chars]"
Asian stock valuations dip to 26-month low on slowdown worries - Reuters.com,https://www.reuters.com/markets/europe/asian-stock-valuations-dip-26-month-low-slowdown-worries-2022-06-07/,2022-06-07T09:04:00Z,"Asian equities' valuations dropped to a more than two-year low at the end of May, as regional shares were hit by concerns over monetary tightening measures by major central banks and supply chain disruptions.","June 7(Reuters) - Asian equities' valuations dropped to a more than two-year low at the end of May, as regional shares were hit by concerns over monetary tightening measures by major central banks an… [+2605 chars]"
"In shadow of Ukraine war, U.S. and China set to clash at Asian security meeting - Reuters.com",https://www.reuters.com/world/china/shadow-ukraine-war-us-china-set-clash-asian-security-meeting-2022-06-09/,2022-06-09T03:24:00Z,"The United States and China are expected to use Asia's top security meeting this week to trade blows over everything from Taiwan's sovereignty to the war in Ukraine, although both sides have indicated a willingness to discuss managing differences.","SINGAPORE, June 9 (Reuters) - The United States and China are expected to use Asia's top security meeting this week to trade blows over everything from Taiwan's sovereignty to the war in Ukraine, alt… [+4827 chars]"
Japan PM Kishida says no numerical targets for defence spending - Reuters,https://www.reuters.com/world/asia-pacific/japan-pm-kishida-says-no-numerical-targets-defence-spending-2022-06-21/,2022-06-21T09:56:00Z,"Japanese Prime Minister Fumio Kishida, who has vowed to substantially increase his nation's defence spending, said on Tuesday there are no numerical targets for the outlay.","TOKYO, June 21 (Reuters) - Japanese Prime Minister Fumio Kishida, who has vowed to substantially increase his nation's defence spending, said on Tuesday there are no numerical targets for the outlay.… [+2012 chars]"
Japan's defence minister slams nuclear neighbours who 'ignore rules' - Reuters.com,https://www.reuters.com/world/asia-pacific/japans-defence-minister-slams-nuclear-neighbours-who-ignore-rules-2022-06-11/,2022-06-11T02:28:00Z,"Manoeuvres by China and Russia have sharpened security concerns in East Asia, Japanese Defence Minister Nobuo Kishi said in unusually strong comments on Saturday, adding that Japan was on the front lines as neighbours tried to upend international norms.","SINGAPORE, June 11 (Reuters) - Manoeuvres by China and Russia have sharpened security concerns in East Asia, Japanese Defence Minister Nobuo Kishi said in unusually strong comments on Saturday, addin… [+2463 chars]"
Some Chinese cities relax COVID testing mandates - Reuters.com,https://www.reuters.com/world/china/some-chinese-cities-relax-covid-testing-mandates-2022-06-24/,2022-06-24T11:57:00Z,"Several Chinese cities have scrapped or relaxed their COVID-19 testing mandates after China emerged from its worst regional outbreaks, with officials told not to cause too much disruption to people's lives while staying vigilant about the virus.","BEIJING, June 24 (Reuters) - Several Chinese cities have scrapped or relaxed their COVID-19 testing mandates after China emerged from its worst regional outbreaks, with officials told not to cause to… [+2039 chars]"
China becoming more 'coercive and aggressive' - U.S. defence chief - Reuters.com,https://www.reuters.com/world/china/china-becoming-more-coercive-aggressive-us-defence-chief-2022-06-11/,2022-06-11T01:20:00Z,"The United States will do its part to manage tensions with China and prevent conflict even though Beijing is becoming increasingly aggressive in the Asian region, including near Taiwan, U.S. Defense Secretary Lloyd Austin said on Saturday.","SINGAPORE, June 11 (Reuters) - The United States will do its part to manage tensions with China and prevent conflict even though Beijing is becoming increasingly aggressive in the Asian region, inclu… [+4528 chars]"
Analysis: China's regulatory thaw leaves investors eager yet uneasy - Reuters.com,https://www.reuters.com/markets/funds/chinas-regulatory-thaw-leaves-investors-eager-yet-uneasy-2022-06-10/,2022-06-10T07:23:00Z,"As Chinese authorities signal that a two-year crackdown on the domestic technology sector is over, global investors are relieved and yet loath to take the government at its word.","SHANGHAI/HONG KONG, June 10 (Reuters) - As Chinese authorities signal that a two-year crackdown on the domestic technology sector is over, global investors are relieved and yet loath to take the gove… [+4800 chars]"
"Wary of foreign 'bad manners', Japan eases borders to aid hobbled tourism industry - Reuters",https://www.reuters.com/world/asia-pacific/wary-foreign-bad-manners-japan-eases-borders-aid-hobbled-tourism-industry-2022-05-30/,2022-05-30T07:25:00Z,"Japan's easing of a two-year ban on foreign tourists seeks to balance the enormous economic importance of tourism with concerns that travellers would trigger a COVID outbreak, insiders say.","TOKYO, May 30 (Reuters) - Japan's easing of a two-year ban on foreign tourists seeks to balance the enormous economic importance of tourism with concerns that travellers would trigger a COVID outbrea… [+4941 chars]"
Column: China stimulus ramps up optimism in industrial metals - Reuters.com,https://www.reuters.com/markets/commodities/china-stimulus-ramps-up-optimism-industrial-metals-2022-06-07/,2022-06-07T08:18:00Z,"The China economic stimulus machine is already firing up the prices of key commodities such as iron ore, steel and copper even if there remain some doubts about how rapid, and how effective, its boosting measures will be.","LAUNCESTON, Australia, June 7 (Reuters) - The China economic stimulus machine is already firing up the prices of key commodities such as iron ore, steel and copper even if there remain some doubts ab… [+4746 chars]"
"NATO to pledge aid to Baltics and Ukraine, urge Turkey to let in Nordics - Reuters",https://www.reuters.com/business/aerospace-defense/nato-pledge-aid-baltics-ukraine-urge-turkey-let-nordics-2022-06-27/,2022-06-27T00:06:00Z,"NATO leaders will urge Turkish President Tayyip Erdogan to lift his veto over Finland and Sweden's bid to join the military alliance when they meet for a three-day summit on Tuesday, as the West strives to send Russia and China a signal of resolve.","MADRID, June 27 (Reuters) - NATO leaders will urge Turkish President Tayyip Erdogan to lift his veto over Finland and Sweden's bid to join the military alliance when they meet for a three-day summit … [+4351 chars]"
U.S. official says world will respond strongly in case of N.Korea nuclear test,https://www.reuters.com/world/us-official-says-world-will-respond-strongly-case-nkorea-nuclear-test-2022-06-07/,2022-06-07T02:26:58Z,"U.S. Deputy Secretary of State Wendy Sherman said on Tuesday there would be a strong and clear response from the United States, South Korea and the world in case North Korea conducts a nuclear test.","SEOUL, June 7 (Reuters) - U.S. Deputy Secretary of State Wendy Sherman said on Tuesday there would be a strong and clear response from the United States, South Korea and the world if North Korea cond… [+1213 chars]"
