title,url,date_published,snippet,body,text
Hungary ends its covid emergency—and declares one over Ukraine,https://www.economist.com/europe/2022/05/25/hungary-ends-its-covid-emergency-and-declares-one-over-ukraine,2022-05-25T21:06:35Z,"Viktor Orban likes a crisis, so long as it lets him rule by decree","VIKTOR ORBAN, Hungarys prime minister, enjoys almost complete control of his countrys political system. In elections on April 3rd his ruling coalition held on to its two-thirds share of the seats in … [+4597 chars]",hungary ends its covid emergency and declares one over ukraine viktor orban likes a crisis  so long as it lets him rule by decree viktor orban  hungarys prime minister  enjoys almost complete control of his countrys political system  in elections on april 3rd his ruling coalition held on to its two thirds share of the seats in   
Rows over press freedom overshadow Greece’s recent achievements,https://www.economist.com/europe/2022/05/19/rows-over-press-freedom-overshadow-greeces-recent-achievements,2022-05-19T14:26:28Z,"Prison for “fake news”, and a reporter gunned down","Greeces centre-right government has done a fine job of polishing its image with tourists and investors since Kyriakos Mitsotakis took over as prime minister in 2019. The countrys ancient heritage, no… [+2278 chars]",rows over press freedom overshadow greece s recent achievements prison for  fake news   and a reporter gunned down greeces centre right government has done a fine job of polishing its image with tourists and investors since kyriakos mitsotakis took over as prime minister in 2019  the countrys ancient heritage  no  
The EU has begun debating how to fund the reconstruction of Ukraine,https://www.economist.com/europe/2022/06/16/the-eu-has-begun-debating-how-to-fund-the-reconstruction-of-ukraine,2022-06-16T14:07:53Z,Where will it find the money required and how will it prevent it being wasted?,"On february 23rd the Azovstal factory in Ukraines port city of Mariupol was one of the biggest steel plants in Europe, 11 square kilometres of blast furnaces and liquid metal. Its 11,000 workers pour… [+4537 chars]",the eu has begun debating how to fund the reconstruction of ukraine where will it find the money required and how will it prevent it being wasted  on february 23rd the azovstal factory in ukraines port city of mariupol was one of the biggest steel plants in europe  11 square kilometres of blast furnaces and liquid metal  its 11 000 workers pour  
Germany is recalibrating its close economic ties with China,https://www.economist.com/europe/2022/06/16/germany-is-recalibrating-its-close-economic-ties-with-china,2022-06-16T14:07:53Z,But only very cautiously,"In recent years members of parliament from parties across the political spectrum had pushed for a rethink of Germanys China policy, without much success. Angela Merkel, Germanys chancellor for 16 yea… [+4037 chars]",germany is recalibrating its close economic ties with china but only very cautiously in recent years members of parliament from parties across the political spectrum had pushed for a rethink of germanys china policy  without much success  angela merkel  germanys chancellor for 16 yea  
Countering China in Africa,https://www.economist.com/special-report/2022/05/20/countering-china-in-africa,2022-05-20T13:41:03Z,The West must try harder to offer African countries alternatives to China,"Africans live globalised lives. Those who travel to work on Chinese-built roads may do so in Japanese minibuses emblazoned with images of players from European football leagues, pinging messages on A… [+4339 chars]",countering china in africa the west must try harder to offer african countries alternatives to china africans live globalised lives  those who travel to work on chinese built roads may do so in japanese minibuses emblazoned with images of players from european football leagues  pinging messages on a  
How Chinese firms have changed Africa,https://www.economist.com/special-report/2022/05/20/how-chinese-firms-have-changed-africa,2022-05-20T13:41:03Z,"Chinese companies have made their mark on the African continent, in ways good and bad","Outside abar in Fungurume, a mining town in Congo, men caked in dust spit peanut shells onto the floor. Inside, where Chinese New Year lanterns hang from the walls, Emmanuel (not his real name) expla… [+9318 chars]",how chinese firms have changed africa chinese companies have made their mark on the african continent  in ways good and bad outside abar in fungurume  a mining town in congo  men caked in dust spit peanut shells onto the floor  inside  where chinese new year lanterns hang from the walls  emmanuel  expla  
The high cost of schools closed by covid,https://www.economist.com/special-report/2022/06/16/the-high-cost-of-schools-closed-by-covid,2022-06-16T14:07:53Z,Making up for Latin America’s lengthy school closures,"Dom agnelo cardeal rossi school is on the south-western edge of São Paulo, more than an hours taxi ride from the city centre. It is in Vila do Sol, a community that was once one of the most violent i… [+2375 chars]",the high cost of schools closed by covid making up for latin america s lengthy school closures dom agnelo cardeal rossi school is on the south western edge of s o paulo  more than an hours taxi ride from the city centre  it is in vila do sol  a community that was once one of the most violent i  
A region caught between stagnation and angry street protests,https://www.economist.com/special-report/2022/06/16/a-region-caught-between-stagnation-and-angry-street-protests,2022-06-16T14:07:54Z,"Latin America is stuck in a development trap, argues Michael Reid","Theystare out in black and white, a double row of portraits winding the full length of the curving wall of the clifftop mansion overlooking the Pacific that is the headquarters of Perus medical assoc… [+16023 chars]",a region caught between stagnation and angry street protests latin america is stuck in a development trap  argues michael reid theystare out in black and white  a double row of portraits winding the full length of the curving wall of the clifftop mansion overlooking the pacific that is the headquarters of perus medical assoc  
The EU’s covid-19 recovery fund has changed how Europe spends money,https://www.economist.com/europe/2022/05/26/the-eus-covid-19-recovery-fund-has-changed-how-europe-spends-money,2022-05-26T14:11:50Z,But there are further tests to come,"The adage that Europe is forged in crisis may be about to acquire a refinement. By the time a response to any given crisis is operational, which takes a while in a 27-country bloc, there is a good ch… [+6405 chars]",the eu s covid 19 recovery fund has changed how europe spends money but there are further tests to come the adage that europe is forged in crisis may be about to acquire a refinement  by the time a response to any given crisis is operational  which takes a while in a 27 country bloc  there is a good ch  
Bashar al-Assad is hollowing out Syria’s ravaged state,https://www.economist.com/middle-east-and-africa/2022/06/16/bashar-al-assad-is-hollowing-out-syrias-ravaged-state,2022-06-16T14:07:53Z,Protection rackets and drug-dealing are big sources of income,"Forget flamboyant Arab dictators in military attire laden with medals or clad in swirling tribal robes. Bashar al-Assad, Syrias president, is the picture of modesty. Usually he wears no jewellery, no… [+5341 chars]",bashar al assad is hollowing out syria s ravaged state protection rackets and drug dealing are big sources of income forget flamboyant arab dictators in military attire laden with medals or clad in swirling tribal robes  bashar al assad  syrias president  is the picture of modesty  usually he wears no jewellery  no  
Is weak governance harming the African Development Bank?,https://www.economist.com/middle-east-and-africa/2022/05/19/is-weak-governance-harming-the-african-development-bank,2022-05-19T14:26:28Z,Several incidents raise troubling questions about one of Africa’s most important banks,"In the middle of July 2020, Roland Michelitsch slipped out of his home in Ivory Coast, taking almost nothing with him. He quietly got into an armoured Land Rover and drove to a boatyard where he aban… [+16901 chars]",is weak governance harming the african development bank  several incidents raise troubling questions about one of africa s most important banks in the middle of july 2020  roland michelitsch slipped out of his home in ivory coast  taking almost nothing with him  he quietly got into an armoured land rover and drove to a boatyard where he aban  
A law meant to boost America’s security becomes industrial policy,https://www.economist.com/united-states/2022/06/16/a-law-meant-to-boost-americas-security-becomes-industrial-policy,2022-06-16T14:07:54Z,The Defence Production Act is used for the production of batteries and infant formula,"What do covid vaccines, solar power, lithium mines and infant formula have in common? In America, the answer is a wartime mobilisation law from 1950, which the government is increasingly using in an … [+3830 chars]",a law meant to boost america s security becomes industrial policy the defence production act is used for the production of batteries and infant formula what do covid vaccines  solar power  lithium mines and infant formula have in common  in america  the answer is a wartime mobilisation law from 1950  which the government is increasingly using in an   
America’s costliest House race and the ideology that made it so,https://www.economist.com/united-states/2022/05/19/americas-costliest-house-race-and-the-ideology-that-made-it-so,2022-05-19T14:26:28Z,The drive to take “effective altruism” to Washington,"Sam bankman-fried drives a Toyota Corolla and sleeps on a beanbag in a flat he shares with ten roommates. It might come as a surprise that the 30-year-old is a crypto-entrepreneur whose exchange, ftx… [+1657 chars]",america s costliest house race and the ideology that made it so the drive to take  effective altruism  to washington sam bankman fried drives a toyota corolla and sleeps on a beanbag in a flat he shares with ten roommates  it might come as a surprise that the 30 year old is a crypto entrepreneur whose exchange  ftx  
Supply-chain woes are forcing more of America’s trade onto planes,https://www.economist.com/united-states/2022/05/19/supply-chain-woes-are-forcing-more-of-americas-trade-onto-planes,2022-05-19T14:26:28Z,Chicago’s jumbo airport is now America’s leading port,"For passengers arriving at the rather faded terminals at Chicago OHare, it may not feel like it. But as of last year they are landing at Americas most important port, measured by value of trade. In t… [+4666 chars]",supply chain woes are forcing more of america s trade onto planes chicago s jumbo airport is now america s leading port for passengers arriving at the rather faded terminals at chicago ohare  it may not feel like it  but as of last year they are landing at americas most important port  measured by value of trade  in t  
Safety worries are putting New Yorkers off returning to their desks,https://www.economist.com/united-states/2022/06/16/safety-worries-are-putting-new-yorkers-off-returning-to-their-desks,2022-06-16T14:07:53Z,Nothing to fear but fear itself?,"Before the pandemic, Alexa, who works in finance, did not think twice about taking the subway. She hopped on day or night, never worrying about safety. That has changed. I avoid taking it if at all p… [+3851 chars]",safety worries are putting new yorkers off returning to their desks nothing to fear but fear itself  before the pandemic  alexa  who works in finance  did not think twice about taking the subway  she hopped on day or night  never worrying about safety  that has changed  i avoid taking it if at all p  
A furore over a public-health rule highlights America’s broken immigration system,https://www.economist.com/united-states/2022/05/22/a-furore-over-a-public-health-rule-highlights-americas-broken-immigration-system,2022-05-22T15:38:07Z,"Whatever happens to “Title 42”, America will have to grapple with a surge in migration","Whenyour rivals start offering their sympathies, you know youre in trouble. Recently, this has been happening to Henry Cuellar, a Democratic congressman representing Laredo in South Texas, because of… [+8243 chars]",a furore over a public health rule highlights america s broken immigration system whatever happens to  title 42   america will have to grapple with a surge in migration whenyour rivals start offering their sympathies  you know youre in trouble  recently  this has been happening to henry cuellar  a democratic congressman representing laredo in south texas  because of  
Why San Francisco’s clash with its district attorney matters,https://www.economist.com/united-states/2022/06/05/why-san-franciscos-clash-with-its-district-attorney-matters,2022-06-05T16:53:12Z,A progressive city’s fraught relationship with Chesa Boudin holds lessons for the whole country,"Before chesa boudin was sworn in as San Franciscos district attorney in January 2020, he once served as a translator for Hugo Chávez, the autocratic former president of Venezuela, and co-wrote a book… [+5993 chars]",why san francisco s clash with its district attorney matters a progressive city s fraught relationship with chesa boudin holds lessons for the whole country before chesa boudin was sworn in as san franciscos district attorney in january 2020  he once served as a translator for hugo ch vez  the autocratic former president of venezuela  and co wrote a book  
Democratic states are extending welfare benefits to the undocumented,https://www.economist.com/united-states/2022/05/19/democratic-states-are-extending-welfare-benefits-to-the-undocumented,2022-05-19T14:26:28Z,"The efforts have attracted only muted controversy in their home states, but they are revolutionary","One march morning, a raucous parade of protesters passed by The Economists offices in midtown Manhattan. Supporters of a policy called the Excluded Workers Fund were showing their discontent, discern… [+7608 chars]",democratic states are extending welfare benefits to the undocumented the efforts have attracted only muted controversy in their home states  but they are revolutionary one march morning  a raucous parade of protesters passed by the economists offices in midtown manhattan  supporters of a policy called the excluded workers fund were showing their discontent  discern  
How Xi Jinping is damaging China’s economy,https://www.economist.com/leaders/2022/05/26/how-xi-jinping-is-damaging-chinas-economy,2022-05-26T09:03:33Z,Inflexible policies are trumping pragmatism,Over the past 20 years China has been the biggest and most reliable source of growth in the world economy. It contributed a quarter of the rise in global gdp over that period and expanded in 79 of 80… [+6113 chars],how xi jinping is damaging china s economy inflexible policies are trumping pragmatism over the past 20 years china has been the biggest and most reliable source of growth in the world economy  it contributed a quarter of the rise in global gdp over that period and expanded in 79 of 80  
